,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
208,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
209,Autobiography of a Yogi,4.6,3794,118,125,5,English,Paperback,Paramahamsa Yogananda,1-10
210,Latest Probable Essays,4.5,34,410,425,3,English,Paperback,Rajinder S. Dhillon,1-10
211,How to Prepare for Quantitative Aptitude for the CAT,4.5,10967,665,895,25,English,Paperback,Sharma Arun,21-30
212,Purvavlokan Bharatiya itihas 2020,4.5,261,336,390,13,English,Paperback,SSGCP GROUP,11-20
213,How to Crack Test of Reasoning - In All Competitive Exa...,4.4,6786,210,235,10,English,Paperback,Jaikishan,1-10
214,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
215,Chanakya Neeti,4.6,1082,223,299,25,English,Paperback,Pillai Radhakrishnan,21-30
216,MCQS Life Sciences Biotechnology,4.4,1210,365,405,9,English,Paperback,Kumar Pranav,1-10
217,Afcat (Flying Technical & Ground Duty Branch),4.4,2557,315,375,16,English,Paperback,unknown,11-20
218,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
219,How To Prepare For Verbal Ability And Reading Ability,4.6,456,643,895,28,English,Paperback,Sharma Arun,21-30
220,Class Notes Of Maths (English) By Rakesh Yadav Sir,4.3,3722,235,330,28,English,Paperback,Rakesh Yadav,21-30
221,The Murder of Roger Ackroyd,4.7,2433,491,699,29,English,Hardcover,Christie Agatha,21-30
222,Educart CBSE Class 10 Maths And Science Question Bank C...,4.5,20,715,998,28,English,Paperback,Educart,21-30
223,HOW TO TALK TO ANYONE,4.4,3610,184,299,38,English,Paperback,Leil Lowndes,31-40
224,The Diary of a Young Girl,4.5,4431,144,180,20,English,Paperback,Anne Frank,11-20
225,CDS Maths : Fastrack With Shortcut Tricks,4.5,82,341,552,38,English,Paperback,DDE,31-40
